duration_ms,explicit,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,outcome
148906,FALSE,1,0.557643,0.598905,-8.153,0.074212,138.097,0.379732,2,0.630904,1,4,0.056006,0
226413,FALSE,1,0.714194,0.779195,-3.607,0.100616,173.925,0.162077,3,0.104452,0,4,0.908479,0
207173,FALSE,1,0.601262,0.902437,-5.799,0.110471,85.005,0.479196,1,0.13998,0,4,0.301929,0
267612,FALSE,2,0.493127,0.868377,-4.539,0.095311,77.055,0.028188,2,0.059172,1,4,0.388273,0
191488,FALSE,1,0.72096,0.759697,-3.233,0.092801,98.03,0.341157,11,0.280684,0,4,0.764092,0
84066,FALSE,2,0.669864,0.317689,-14.364,0.857262,81.12,0.646371,10,0.754042,1,1,0.803007,0
433440,FALSE,1,0.255851,0.922237,-4.125,0.065725,83.929,0.000371,1,0.153053,1,4,0.193317,0
307500,FALSE,3,0.719303,0.868477,-5.34,0.048289,127.983,0.000365,6,0.191059,1,4,0.324658,0
236160,FALSE,1,0.694746,0.654495,-5.87,0.032494,123.995,0.751104,6,0.145252,0,4,0.325226,0
249704,FALSE,2,0.750035,0.917106,-6.171,0.131309,102.001,0.407097,0,0.115748,1,4,0.68004,0
190243,FALSE,1,0.7526,0.83214,-6.933,0.026525,122.996,0.011463,9,0.427462,0,4,0.744492,0
247520,FALSE,1,0.72295,0.623482,-7.323,0.031837,119.946,0.190586,8,0.478135,1,4,0.756344,0
148546,FALSE,1,0.34312,0.156711,-15.62,0.032158,110.186,0.960354,10,0.108196,1,4,0.236734,0
236893,FALSE,1,0.646419,0.990554,-3.573,0.03587,143.994,0.088215,9,0.394246,0,4,0.417737,0
188120,FALSE,1,0.82991,0.363535,-12.166,0.185278,82.023,0.176474,4,0.29078,0,4,0.633692,0
216666,FALSE,4,0.528835,0.793707,-3.903,0.163723,119.956,0.12151,5,0.116791,1,3,0.550114,0
280040,FALSE,1,0.511517,0.573769,-7.069,0.027527,119.954,0.039884,5,0.10509,1,4,0.143195,0
253179,FALSE,2,0.510026,0.839008,-3.76,0.120921,127.605,0.099537,6,0.245227,1,5,0.77962,0
360961,FALSE,1,0.828914,0.786407,-9.522,0.04856,119.998,0.000598,1,0.134045,1,4,0.712211,0
252840,TRUE,2,0.617624,0.832139,-4.687,0.270034,82.018,0.176357,11,0.072732,0,4,0.844557,0
401506,FALSE,1,0.923276,0.412979,-13.557,0.109869,126.004,0.023271,9,0.135496,0,4,0.608292,0
171002,FALSE,3,0.577232,0.896058,-1.435,0.054702,128.037,0.029939,2,0.23282,0,4,0.202991,0
205195,FALSE,1,0.785378,0.654836,-5.298,0.164384,90.04,0.099604,10,0.042272,0,4,0.841566,0
244285,FALSE,2,0.48923,0.745185,-4.095,0.034124,140.051,0.000781,7,0.306932,1,4,0.150057,0
304974,TRUE,3,0.76617,0.622862,-4.07,0.083549,86.111,0.105336,10,0.801848,0,4,0.686111,0
146064,TRUE,1,0.893547,0.251841,-10.729,0.356587,119.962,0.015,1,0.08714,1,3,0.231038,0
180062,FALSE,1,0.758914,0.778574,-6.985,0.150689,127.969,0.007741,10,0.095336,1,4,0.455977,0
271490,TRUE,1,0.369002,0.310141,-12.023,0.072861,78.409,0.586585,0,0.104543,1,4,0.320534,0
126466,FALSE,4,0.812789,0.711579,-5.23,0.075804,142.026,0.249112,6,0.028414,1,4,0.966294,0
175640,FALSE,2,0.728557,0.919521,-4.937,0.037448,144.986,0.014185,0,0.216525,1,4,0.612726,0
255853,TRUE,3,0.74067,0.68715,-4.694,0.04769,123.036,0.023327,10,0.438314,0,4,0.281783,0
271920,FALSE,3,0.524873,0.651514,-7.41,0.203547,81.507,0.013889,0,0.130411,0,4,0.62515,0
187253,FALSE,1,0.622997,0.871202,-3.485,0.058466,128.067,0.039249,1,0.074605,0,4,0.559553,0
175121,FALSE,1,0.832338,0.271869,-14.76,0.044153,123.03,0.631697,1,0.087284,1,4,0.688063,0
218773,FALSE,1,0.704281,0.568783,-10.069,0.251757,91.976,0.054947,11,0.017637,0,4,0.824019,0
222902,TRUE,1,0.76638,0.714108,-4.852,0.070316,84.013,0.046868,11,0.055241,1,4,0.9127,0
202674,TRUE,1,0.71572,0.836378,-4.957,0.355277,139.923,0.271509,9,0.184963,0,4,0.585287,0
381546,FALSE,2,0.425367,0.018099,-31.487,0.055943,129.464,0.994196,10,0.147014,1,3,0.223402,0
412213,FALSE,1,0.714934,0.639899,-8.937,0.074643,125.009,0.003744,8,0.096439,1,4,0.461185,0
200493,FALSE,1,0.639315,0.914702,-5.201,0.031349,107.007,0.000156,1,0.095811,1,4,0.885815,0
465546,FALSE,1,0.072403,0.659404,-7.709,0.040464,73.965,0.231027,7,0.141146,1,4,0.075752,0
289246,FALSE,2,0.400036,0.875297,-2.608,0.079759,127.991,0.000534,5,0.064769,0,4,0.210602,0
254306,FALSE,2,0.544367,0.639837,-7.272,0.151648,92.42,0.349109,2,0.157964,1,4,0.167934,0
251989,TRUE,2,0.87212,0.46448,-8.103,0.16769,113.003,0.251633,4,0.089466,1,4,0.45989,0
195126,FALSE,3,0.657342,0.630612,-6.477,0.185597,151.941,0.054181,1,0.090999,1,4,0.524477,0
200973,FALSE,1,0.664764,0.696295,-6.943,0.031574,111.818,0.001668,7,0.486373,1,4,0.663732,0
206566,FALSE,5,0.581141,0.81367,-5.608,0.092769,165.026,0.01274,6,0.272648,0,4,0.433112,0
223147,FALSE,2,0.520347,0.92688,-3.846,0.106575,127.972,0.005785,0,0.255891,1,3,0.436845,0
216004,FALSE,1,0.54278,0.706578,-7.636,0.070026,143.915,0.614057,2,0.117674,1,4,0.500277,0
277559,FALSE,1,0.548847,0.662564,-7.555,0.046351,114.494,0.030946,5,0.093802,0,4,0.25354,0
246186,FALSE,1,0.546021,0.911269,-4.639,0.072852,145.205,0.013545,4,0.493369,1,4,0.671184,0
272933,FALSE,1,0.689825,0.601666,-8.43,0.088675,82.85,0.0588,1,0.064906,1,4,0.788405,0
110253,FALSE,1,0.229972,0.187487,-18.858,0.049161,208.301,0.993125,0,0.111715,0,3,0.479852,0
210240,FALSE,1,0.700133,0.867344,-3.962,0.047661,115.115,0.01728,5,0.256008,0,4,0.894461,0
279692,FALSE,2,0.616969,0.952596,-2.848,0.042046,129.979,0.008054,7,0.126057,1,4,0.038566,0
255466,TRUE,2,0.558826,0.448082,-10.41,0.197293,119.842,0.163884,1,0.282091,1,4,0.377944,0
209786,FALSE,1,0.536173,0.833336,-6.687,0.072724,131.98,0.150727,9,0.228119,0,4,0.548468,0
318493,FALSE,2,0.464625,0.268723,-12.14,0.031135,131.391,0.790665,0,0.138778,1,3,0.190503,0
319723,TRUE,3,0.938724,0.530229,-5.561,0.173226,120.068,0.011939,1,0.137507,1,4,0.305748,0
227000,TRUE,2,0.689449,0.59346,-9.416,0.115254,101.029,0.062666,9,0.577214,1,4,0.370598,0
188800,FALSE,1,0.395307,0.638643,-5.759,0.037709,205.489,0.046055,6,0.12279,1,3,0.763867,0
232773,FALSE,1,0.531636,0.85051,-6.844,0.038598,119.973,0.001438,11,0.20146,1,4,0.470187,0
227194,TRUE,1,0.590016,0.399459,-11.509,0.184875,140.001,0.434522,7,0.091254,1,4,0.279709,0
241000,TRUE,4,0.789735,0.649765,-6.113,0.160696,146.046,0.028528,10,0.110983,0,4,0.343824,0
212946,FALSE,2,0.667656,0.817297,-5.04,0.13037,80.1,0.016594,11,0.316924,1,4,0.863359,0
173791,FALSE,1,0.617596,0.906647,-6.637,0.330351,79.018,0.081412,5,0.101252,0,4,0.280796,0
385533,FALSE,1,0.313126,0.971769,-5.525,0.143756,119.968,0.000149,11,0.106083,0,4,0.344852,0
194240,FALSE,1,0.664456,0.726447,-7.54,0.031923,100.014,0.021167,2,0.093231,1,4,0.443838,0
336066,FALSE,1,0.308268,0.364366,-12.183,0.030558,135.975,0.377601,7,0.931656,0,4,0.071734,0
245869,TRUE,1,0.489109,0.728122,-5.474,0.48464,65.326,0.485511,7,0.137047,1,3,0.368416,0
180613,FALSE,2,0.669917,0.963573,-1.811,0.042201,132.008,0.110256,11,0.278661,1,4,0.923243,0
269653,TRUE,2,0.711805,0.850594,-8.146,0.287666,94.112,0.320945,8,0.190979,0,4,0.451698,0
229565,FALSE,2,0.796865,0.671314,-12.803,0.072717,115.055,0.034006,5,0.244865,0,4,0.762937,0
209538,FALSE,4,0.758492,0.822873,-0.928,0.042884,130.016,0.002661,2,0.077296,0,4,0.352752,0
187840,FALSE,2,0.64392,0.68443,-4.213,0.201141,82.184,0.382965,1,0.094518,1,4,0.497225,0
232666,TRUE,1,0.594472,0.585018,-7.996,0.087728,149.98,0.198133,4,0.138321,1,4,0.430473,0
195026,FALSE,1,0.68332,0.582762,-8.684,0.026448,114.993,0.049254,5,0.105417,1,4,0.425284,0
220653,FALSE,1,0.658251,0.735311,-2.666,0.043593,143.888,0.016905,0,0.096737,0,4,0.599061,0
265243,TRUE,5,0.378228,0.801714,-3.429,0.275469,92.453,0.020978,1,0.480367,1,4,0.365718,0
395986,TRUE,3,0.513586,0.763319,-3.58,0.052014,139.748,0.160545,10,0.117803,0,4,0.468804,0
224440,FALSE,2,0.61659,0.764798,-5.268,0.069773,79.966,0.012499,4,0.051967,1,4,0.464796,0
189960,TRUE,2,0.504059,0.531587,-9.071,0.088207,99.794,0.002145,10,0.240892,0,4,0.306288,0
254986,TRUE,1,0.590319,0.367222,-10.088,0.035829,99.801,0.656405,4,0.324074,1,4,0.179423,0
304350,FALSE,1,0.620225,0.776252,-3.495,0.044508,130.023,0.017764,9,0.078246,1,4,0.143279,0
319663,TRUE,4,0.589531,0.636662,-6.172,0.191418,135.001,0.095794,9,0.101612,0,4,0.265823,0
192566,FALSE,1,0.671373,0.803069,-11.174,0.226344,139.999,0.004026,5,0.543539,0,4,0.409736,0
252573,FALSE,1,0.712794,0.813683,-5.69,0.048876,124.999,0.038218,7,0.07911,0,4,0.462532,0
278666,TRUE,3,0.686321,0.58666,-6.777,0.04161,126.023,0.065493,8,0.07366,1,4,0.077776,0
131000,FALSE,1,0.78668,0.118201,-14.575,0.074042,115.887,0.971131,0,0.089384,1,4,0.237683,0
258959,FALSE,1,0.392405,0.742467,-7.731,0.33375,90.099,0.021304,1,0.114152,1,4,0.410473,0
240080,FALSE,1,0.681005,0.592311,-6.964,0.031303,98.988,0.131334,7,0.235105,1,4,0.627015,0
307093,FALSE,1,0.432649,0.86746,-7.494,0.087738,138.468,0.60657,0,0.181902,1,4,0.463579,0
217426,FALSE,1,0.724402,0.497567,-10.165,0.030252,99.964,0.479241,1,0.07753,0,3,0.51704,0
219493,TRUE,1,0.615569,0.848571,-6.105,0.052366,126.069,0.039362,6,0.049381,0,4,0.404825,0
234932,TRUE,1,0.50137,0.846498,-4.661,0.121472,161.622,0.001671,8,0.228725,1,4,0.423591,0
192560,FALSE,3,0.595787,0.730001,-4.091,0.150574,85.979,0.239658,9,0.325252,1,4,0.54264,0
240200,FALSE,1,0.790768,0.847055,-3.657,0.049203,163.974,0.107701,1,0.089837,1,4,0.899167,0
215786,FALSE,1,0.625064,0.712021,-4.877,0.040229,100.02,0.010419,11,0.317407,1,4,0.452436,0
298000,FALSE,1,0.548254,0.777598,-7.045,0.036152,140.043,0.353857,0,0.6387,1,4,0.268149,0
207973,TRUE,2,0.71465,0.848684,-4.973,0.139606,106.054,0.152234,7,0.338059,1,4,0.530055,0
435320,FALSE,2,0.153566,0.027653,-27.577,0.034461,176.608,0.977331,5,0.092724,1,3,0.105004,0
226600,FALSE,1,0.531143,0.933436,-6.486,0.453759,81.049,0.301845,11,0.404718,0,4,0.412661,0
324733,TRUE,1,0.483918,0.91334,-4.631,0.443675,92.715,0.332922,4,0.58865,0,4,0.640445,0
245466,FALSE,1,0.387505,0.836293,-3.548,0.035764,180.073,0.002419,9,0.069878,1,4,0.341704,0
231013,FALSE,1,0.462121,0.751158,-6.409,0.057198,189.906,0.000217,4,0.784635,0,4,0.356373,0
355333,FALSE,1,0.795838,0.435549,-11.169,0.219859,105.707,0.646373,0,0.126213,1,4,0.596887,0
254893,FALSE,1,0.661406,0.795102,-6.435,0.226876,99.998,0.160175,2,0.059822,0,4,0.837496,0
354424,FALSE,1,0.335182,0.520427,-8.845,0.039618,119.856,0.11374,8,0.088239,0,4,0.285239,0
273333,FALSE,2,0.700523,0.560876,-8.794,0.031117,120.007,0.008331,0,0.169268,1,4,0.166463,0
225013,TRUE,1,0.646211,0.91213,-5.335,0.11042,104.982,0.007155,10,0.075726,0,4,0.312544,0
235514,FALSE,2,0.708001,0.792768,-6.077,0.051142,106.477,0.297562,6,0.110138,1,4,0.800301,0
232783,FALSE,1,0.732284,0.670278,-7.159,0.031896,107.999,0.145032,7,0.10863,0,4,0.397951,0
265254,FALSE,1,0.671704,0.734991,-5.58,0.031525,121.978,0.16149,11,0.165158,1,4,0.485259,0
194561,TRUE,1,0.858448,0.492854,-7.627,0.419799,83.983,0.047089,9,0.060588,1,4,0.176046,0
232893,FALSE,1,0.567017,0.884904,-4.519,0.09535,91.017,0.077852,8,0.495003,1,4,0.306338,0
255720,FALSE,1,0.457708,0.607153,-6.956,0.052188,129.091,0.014268,0,0.217119,0,4,0.172623,0
222413,FALSE,1,0.482149,0.628855,-6.428,0.038747,122.568,0.252084,1,0.094398,1,4,0.229066,0
225053,FALSE,1,0.110351,0.386753,-13.174,0.033393,90.827,0.855652,0,0.42944,1,4,0.073621,0
241893,FALSE,2,0.711274,0.810352,-7.051,0.059153,123.97,0.001556,11,0.032698,0,4,0.635733,0
173791,FALSE,1,0.617596,0.906647,-6.637,0.330351,79.018,0.081412,5,0.101252,0,4,0.280796,0
298333,FALSE,1,0.320544,0.798626,-5.284,0.039156,81.933,0.005057,0,0.309078,1,3,0.097374,0
217906,TRUE,2,0.380917,0.483188,-8.899,0.044542,92.83,0.007764,8,0.609347,1,3,0.152901,0
211346,FALSE,1,0.450203,0.96826,-4.235,0.111053,120.003,0.005164,6,0.382886,1,4,0.31242,0
180280,FALSE,2,0.549734,0.722973,-5.845,0.102241,122.967,0.001769,6,0.363653,0,4,0.411238,0
240101,FALSE,3,0.62148,0.914868,-3.986,0.088453,127.967,0.001272,1,0.060359,0,4,0.214741,0
225560,TRUE,5,0.813611,0.762152,-4.338,0.259064,100.039,0.007716,9,0.031154,1,4,0.356963,0
223124,FALSE,3,0.526358,0.637077,-7.38,0.055951,128.079,0.001943,5,0.063747,0,4,0.038531,0
191903,FALSE,1,0.566951,0.932926,-3.453,0.129116,128.074,0.018835,5,0.436862,1,3,0.604862,0
247510,TRUE,1,0.666394,0.467793,-9.231,0.220183,150.011,0.466823,0,0.250008,1,4,0.384567,0
208500,TRUE,3,0.532301,0.808253,-4.52,0.180197,169.203,0.114793,6,0.596125,0,3,0.417303,0
220157,FALSE,1,0.631883,0.932494,-5.316,0.040495,127.077,0.013076,4,0.08446,0,4,0.932111,0
337485,FALSE,1,0.721967,0.678412,-5.532,0.08524,128,0.003103,9,0.613688,0,4,0.128918,0
262200,FALSE,1,0.655846,0.818823,-4.792,0.038575,124.999,0.000708,10,0.23388,1,4,0.526468,0
315037,FALSE,2,0.728987,0.692941,-8.181,0.285354,80.009,0.336633,10,0.313896,1,4,0.897105,0
305921,TRUE,2,0.634638,0.606633,-6.356,0.187218,76.999,0.316427,7,0.109824,0,4,0.707319,0
224480,FALSE,1,0.573213,0.706945,-6.444,0.037347,93.992,0.099074,5,0.101277,1,4,0.37133,0
189386,FALSE,1,0.870738,0.519934,-5.481,0.097117,109.307,0.065594,11,0.083404,1,5,0.653011,0
221266,FALSE,2,0.617284,0.886882,-3.848,0.2449,93.641,0.019737,5,0.501561,0,4,0.692666,0
183271,FALSE,1,0.534567,0.777289,-5.022,0.05105,147.971,0.016354,7,0.180648,0,4,0.52721,0
226960,FALSE,1,0.623019,0.868968,-5.662,0.037918,114.987,0.012847,1,0.073591,0,4,0.405418,0
191186,FALSE,1,0.683075,0.727537,-6.107,0.389939,97.933,0.094032,1,0.10185,1,4,0.728581,0
183786,FALSE,1,0.534078,0.855242,-6.119,0.04192,93.011,0.001547,5,0.107464,0,4,0.501981,0
240360,FALSE,2,0.494991,0.622632,-7.371,0.267739,84.429,0.016144,4,0.311828,0,4,0.338099,0
386442,FALSE,3,0.46462,0.939025,-4.916,0.029414,128.001,0.001582,9,0.261839,1,4,0.157094,0
226000,FALSE,1,0.629195,0.815581,-4.211,0.039634,130.045,0.008799,2,0.129312,1,4,0.663117,0
218886,TRUE,4,0.431972,0.841208,-4.779,0.233678,92.745,0.621237,2,0.260031,1,4,0.556976,0
208853,FALSE,1,0.632777,0.58628,-7.842,0.104225,114.936,0.087545,5,0.374537,0,4,0.333939,0
373120,FALSE,1,0.340107,0.819868,-6.395,0.076009,121.781,0.002895,1,0.346147,0,4,0.159897,0
312839,FALSE,2,0.785365,0.500391,-8.812,0.04955,124.036,0.228996,3,0.048175,0,3,0.527087,0
268000,TRUE,1,0.389994,0.58011,-8.035,0.152868,82.323,0.009163,7,0.050421,1,4,0.230746,0
223600,FALSE,3,0.8589,0.757542,-4.95,0.185001,113.039,0.151657,9,0.176262,1,4,0.785303,0
190266,FALSE,1,0.438081,0.861094,-3.735,0.051856,177.992,0.141774,11,0.054133,1,4,0.362957,0
203842,TRUE,1,0.541354,0.660357,-4.126,0.070638,107.763,0.118179,3,0.365777,1,4,0.194618,0
222213,FALSE,1,0.654824,0.658945,-5.341,0.061843,143.994,0.578245,4,0.20924,0,4,0.580124,0
264760,FALSE,1,0.398925,0.385386,-11.468,0.028345,171.295,0.885573,3,0.144428,1,4,0.244653,0
229920,FALSE,1,0.502358,0.728709,-5.659,0.031293,140.02,0.000429,8,0.131432,0,4,0.391188,0
205611,FALSE,1,0.604697,0.911897,-1.925,0.121049,163.852,0.059539,5,0.358193,0,4,0.677306,0
196345,FALSE,3,0.809432,0.951545,-3.941,0.214289,139.99,0.034487,1,0.357626,0,4,0.776708,0
209295,TRUE,2,0.880451,0.346133,-9.145,0.339159,119.966,0.028231,1,0.070706,1,4,0.203503,0
217356,FALSE,2,0.474122,0.942369,-2.84,0.142611,174.026,0.001062,9,0.160336,0,4,0.303069,0
294844,FALSE,2,0.703128,0.817083,-7.35,0.035637,107.984,0.150162,2,0.502316,0,4,0.560452,0
255840,FALSE,1,0.779803,0.844583,-5.298,0.238545,115.021,0.012712,11,0.109343,0,4,0.744285,0
419653,FALSE,2,0.251665,0.351978,-9.457,0.032858,159.857,0.338359,0,0.104488,1,4,0.124843,0
158320,FALSE,1,0.554394,0.334933,-5.513,0.028096,133.709,0.618234,5,0.092676,1,4,0.275723,0
203440,TRUE,1,0.306133,0.657664,-7.873,0.061115,139.946,0.018356,10,0.093527,1,4,0.374314,0
261146,FALSE,1,0.729369,0.834715,-4.856,0.084511,143.971,0.112923,5,0.194645,0,4,0.85917,0
288395,FALSE,1,0.763418,0.728383,-8.393,0.038361,119.99,0.000395,2,0.02714,1,4,0.177298,0
179626,FALSE,1,0.641668,0.879305,-5.611,0.031944,124.831,0.11492,9,0.07343,1,4,0.764421,0
217240,FALSE,1,0.541908,0.920695,-1.05,0.123033,127.918,0.278436,0,0.105303,0,4,0.542962,0
357818,FALSE,1,0.383115,0.649785,-7.411,0.057143,109.995,0.444864,7,0.107709,0,4,0.095703,0
235493,TRUE,1,0.745122,0.748826,-7.047,0.032684,120.083,0.068019,1,0.084185,1,4,0.891446,0
211920,FALSE,1,0.55581,0.734813,-4.816,0.311596,79.899,0.081412,0,0.402335,1,4,0.82242,0
216880,FALSE,1,0.629663,0.545725,-7.747,0.296264,89.795,0.088107,6,0.09963,1,4,0.362006,0
203280,FALSE,1,0.688072,0.886965,-4.475,0.061911,129.947,0.002541,5,0.257581,1,4,0.806858,0
