song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,song_title_en,outcome
Dream Catcher (feat. Charlotte Haining),1b0YdMX8EUf2Zg6VA5tz8Z,"['Rameses B', 'Charlotte Haining']",Dream Catcher,217356,FALSE,06EfEcjc0vdvI6VNL0soIO,2,0.474122,0.942369,-2.84,0.142611,174.026,0.001062,9,0.160336,0,4,0.303069,Dream Catcher (feat. Charlotte Haining),0
Mi Vecinita,24Ys3m6hKQJlftrhCYSwgP,['Plan B'],Mi Vecinita,183320,FALSE,2jSGzJw0ebJLu7OLVSOcBP,1,0.756561,0.835954,-4.435,0.07488,93.969,0.171161,10,0.57328,1,4,0.865732,Mi Vecinita,0
Visionary,5baQLiHIcy4Fsslxhvfo5V,['Rameses B'],Visionary,297639,FALSE,06EfEcjc0vdvI6VNL0soIO,1,0.536589,0.86597,-5.743,0.054478,87.503,0.000633,5,0.414388,0,4,0.128277,Visionary,0
Minns Vad Du Sa,6D2ip633z0Au78yglXnMo1,['B C'],Minns Vad Du Sa,196500,FALSE,0iieHSV4JrDQ4iXLGRgoHF,1,0.666028,0.684457,-8.488,0.027619,120.021,0.292404,2,0.32278,1,4,0.646275,Minns Vad Du Sa,0
Desnúdate,0X4WNWyHdhcTmWRCalyVaI,['J Balvin'],La Familia B Sides,223106,FALSE,1vyhD5VmyZ7KMfW5gqLgo5,1,0.756153,0.736829,-5.889,0.092773,92.036,0.145865,1,0.04541,0,4,0.657974,Desnúdate,0
In Your Eyes - Henrik B Deep Mix,5OrR2iT1BMIS7xHxZTBFQ9,['Henrik B'],In Your Eyes (Remixes),360961,FALSE,1qM7ddO1J0S7eGGnuVmEXn,1,0.828914,0.786407,-9.522,0.04856,119.998,0.000598,1,0.134045,1,4,0.712211,In Your Eyes (Henrik B Deep Mix),0
Mi Vecinita,4Yu2UoU9qNlYL9GeIH65P5,['Plan B'],Love and Sex,182160,FALSE,2jSGzJw0ebJLu7OLVSOcBP,1,0.754098,0.81932,-4.426,0.051284,93.986,0.097321,5,0.659182,0,4,0.888346,Mi Vecinita,0
"Adagio in B Minor, K. 540",4Xwx60tQYJubmNNGd0UBbF,['Walter Klien'],Mozart: Complete Works for Solo Piano (The VoxBox Edition),475773,FALSE,2OQorEVvzvGCM4J4PHa6di,1,0.476862,0.014339,-28.947,0.07608,127.246,0.994684,11,0.122839,0,4,0.11784,Adagio In B Minor K. 540,0
Loco,6pV8HES2JMIiLr2vHtc1MC,"['Joel Fletcher', 'Seany B']",Loco,202500,FALSE,2Z4QqhmV5Xw5vX2ZI70HOR,2,0.725949,0.956979,-2.192,0.321811,128.042,0.002947,7,0.621938,1,4,0.288093,Loco,0
She Loves You,7kqZ1ILc7vLzggsvXs5yXO,['The Gaslight Anthem'],The B-Sides,218920,FALSE,7If8DXZN7mlGdQkLE2FaMo,1,0.519772,0.698251,-8.762,0.033358,92.016,0.879481,10,0.311864,1,4,0.567641,She Loves You,0
Candy,2cRtuTadVm0JzoW4NNTIqI,['Plan B'],Love and Sex,207500,FALSE,2jSGzJw0ebJLu7OLVSOcBP,1,0.897434,0.864373,-3.735,0.147358,95.981,0.251715,11,0.517153,0,4,0.560445,Candy,0
Call Me King Kong B!T%H!!!,6W5NXkJKtf4Phf2tRRjvBp,"['Fatman Scoop', 'Dienvy']",Call Me King Kong B!T%H!!!,219250,TRUE,15GGbJKqC6w0VYyAJtjej6,2,0.714248,0.964883,-5.256,0.115188,130.028,0.00826,1,0.758966,1,4,0.663045,Call Me King Kong B!T%H!!!,0
Shake It off,6wJvWLrskWayzzHcxtvksw,['DJ Talia B'],"Get Fit, Vol. 1",218102,FALSE,6QmfaGANUyQMaLK1L6VoDL,1,0.56908,0.785766,-5.886,0.176851,159.983,0.013911,7,0.569669,1,4,0.886965,Shake It off,0
