song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,song_title_en,outcome
All of Me - (Tiësto's Birthday Treatment Remix) [Radio Edit],3OgesRs9A97HaLMZEWBM9a,['John Legend'],Love In The Future (Special Edition),251613,FALSE,5y2Xq6xcjJb2jVM54GHK3t,1,0.59805,0.75538,-5.776,0.030135,127.996,0.000268,5,0.094203,0,4,0.174785,All of Me - (Tiësto's Birthday Treatment Remix) [Radio Edit],1
Fancy,3W3KtDwAIg3mAruSpnfG3Q,"['Iggy Azalea', 'Charli XCX']",The New Classic (Deluxe Version),199938,TRUE,5yG7ZAZafVaAlMTeBybKAL,2,0.912566,0.700042,-4.672,0.072712,94.985,0.088625,10,0.090382,0,4,0.38097,Fancy,1
Tennis Court,74fpNVAJrKGQuqHETi4WSt,['Lorde'],Pure Heroine,198907,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.759181,0.555604,-8.956,0.062092,90.015,0.022473,0,0.296755,1,4,0.428224,Tennis Court,1
Let It Go,0qcr5FMsEO85NAQjrlDRKo,['Idina Menzel'],Frozen (Original Motion Picture Soundtrack / Deluxe Edition),223840,FALSE,73Np75Wv2tju61Eo9Zw4IR,1,?,?,?,?,?,?,?,?,?,?,?,?,1
Problem,6xCNYRfzZtoQRo1xruPmNq,"['Ariana Grande', 'Iggy Azalea']",My Everything (Deluxe),193920,FALSE,66CXWjxzNUsdJxJ2JdwvnR,2,0.65126,0.7985,-5.355,0.187254,103.021,0.0229,1,0.265937,0,4,0.618905,Problem,1
Amnesia,1JCCdiru7fhstOIF4N7WJC,['5 Seconds Of Summer'],5 Seconds Of Summer,237247,FALSE,5Rl15oVamLq7FbSb0NNBNy,1,0.457682,0.469816,-5.739,0.033882,101.875,0.02747,2,0.117705,1,4,0.110802,Amnesia,1
Radioactive,4G8gkOterJn0Ywt6uhqbhp,['Imagine Dragons'],Night Visions,186813,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.464454,0.670427,-8.355,0.064177,136.248,0.140495,9,0.320679,1,4,0.216959,Radioactive,1
On Top Of The World,4eLSCSELtKxZwXnFbNLXT5,['Imagine Dragons'],Night Visions (Deluxe),189840,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.671869,0.876415,-8.253,0.092178,100.017,0.023166,0,0.067794,1,4,0.880091,On Top Of The World,1
Timber,3cHyrEgdyYRjgJKSOiOtcS,"['Pitbull', 'Ke$ha']",Global Warming: Meltdown (Deluxe Version),204160,FALSE,0TnOYISbd1XYRBk9myaseg,2,0.58353,0.9603,-3.968,0.101705,129.964,0.031242,11,0.139946,1,4,0.804947,Timber,1
Wake Me Up,6g1NlCpW7fgqDnWbCCDrHl,['Avicii'],TRUE,247426,FALSE,1vCWHaC5f2uS3yhpwWbIA6,1,0.515522,0.660367,-9.737,0.055788,124.055,0.003924,2,0.184575,1,4,0.64824,Wake Me Up,1
All About That Bass,0ifSeVGUr7py5GggttDhXw,['Meghan Trainor'],All About That Bass,188754,FALSE,6JL8zeS1NmiOftqZTRgdTz,1,0.791114,0.854192,-4.309,0.061759,134.033,0.041659,9,0.111222,1,4,0.962221,All About That Bass,1
Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,['Miley Cyrus'],Bangerz (Deluxe Version),221360,FALSE,5YGY8feqx7naU7z4HrwZM6,1,0.498138,0.331395,-11.389,0.035741,119.918,0.353705,5,0.111118,1,4,0.326537,Wrecking Ball,1
Safe and Sound,1fzJyTCKeZuTSLByCsLRHl,['Capital Cities'],In A Tidal Wave Of Mystery,192789,FALSE,4gwpcMTbLWtBUlOijbVpuu,1,0.652213,0.776569,-5.681,0.030142,117.949,0.00022,0,0.07305,1,5,0.809152,Safe And Sound,1
Blame,07nH4ifBxUB4lZcsf44Brn,"['Calvin Harris', 'John Newman']",Motion,212960,FALSE,7CajNmpbOovFoOoasH2HaY,2,0.636889,0.823335,-5.43,0.057841,127.995,0.029816,0,0.554369,0,4,0.369038,Blame,1
Leave The Night On,3wx2kQWPn9p5UppQbNhPAk,['Sam Hunt'],Montevallo,192160,FALSE,2kucQ9jQwuD8jWdtR9Ef38,1,0.515927,0.952762,-3.828,0.062373,171.971,0.099589,9,0.349233,1,4,0.848842,Leave The Night On,1
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,['Coldplay'],Ghost Stories,268466,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.542656,0.565531,-9.055,0.027773,125.005,0.006731,6,0.324231,1,4,0.191082,A Sky Full of Stars,1
Stay The Night - Featuring Hayley Williams Of Paramore,1o4XQ7tYJrDxgEpJufbOI8,"['Zedd', 'Hayley Williams']",Clarity (Deluxe),217346,FALSE,2qxJFvFYMEDqd7ui6kSAcq,2,0.602412,0.649337,-5.769,0.040738,127.999,0.118385,8,0.099435,1,4,0.452067,Stay The Night,1
Wiggle (feat. Snoop Dogg),4B4zDmbHdkXZ1wUJv1yKFy,"['Jason Derulo', 'Snoop Dogg']",Tattoos [Deluxe Edition],193295,FALSE,07YZf4WDAMNwqr4jfgOZ8y,2,0.697038,0.613191,-6.66,0.240813,81.95,0.071882,9,0.35934,0,4,0.680241,Wiggle,1
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,['One Direction'],Midnight Memories (Deluxe),245493,FALSE,4AK6F7OLvEQ5QYCBNiQWHq,1,0.576926,0.664001,-7.672,0.055294,121.094,0.226265,3,0.169477,1,4,0.300134,Story of My Life,1
Blurred Lines,0Rz1KXsP4bhGxs0ffySSSn,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",Blurred Lines (Deluxe),263826,FALSE,0ZrpamOxcZybMHGg1AYtHP,3,0.864211,0.609989,-4.775,0.040292,119.99,0.003616,7,0.078133,1,4,0.83351,Blurred Lines,1
Demons,2Oehrcv4Kov0SuIgWyQY9e,['Imagine Dragons'],Night Visions (Deluxe),175200,FALSE,53XhwfbYqKCa1cC15pYq2q,1,0.486108,0.730505,-2.951,0.036912,90.026,0.144142,3,0.311512,1,4,0.373661,Demons,1
"Happy - From ""Despicable Me 2""",5b88tNINg4Q4nrRbrCXUmg,['Pharrell Williams'],G I R L,232720,FALSE,2RdwBSPQiwcmiDo9kixcl8,1,0.651098,0.809944,-4.61,0.179313,160.047,0.220501,5,0.096054,0,4,0.960054,"Happy - From ""Despicable Me 2""",1
Don't,1huvTbEYtgltjQRXzrNKGi,['Ed Sheeran'],x (Deluxe Edition),219840,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.805062,0.553462,-8.498,0.061271,95.044,0.01076,1,0.327129,1,4,0.853958,Don't,1
Habits (Stay High),18AJRdgUoO9EYn11N7xzaT,['Tove Lo'],Queen Of The Clouds,209160,FALSE,4NHQUGzhtTLFvgF5SZesLK,1,0.734326,0.652878,-3.465,0.030507,110.019,0.065022,5,0.082071,1,4,0.367879,Habits (Stay High),1
Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,['Schoolboy Q'],Oxymoron (Deluxe),216013,TRUE,5IcR3N7QB1j6KBL8eImZ8m,1,0.60189,0.795234,-8.099,0.070131,112.001,0.00479,3,0.183481,1,4,0.396285,Man Of The Year,1
Black Widow,7pNC5ZIKtwUK0ReSpM3P9f,"['Iggy Azalea', 'Rita Ora']",The New Classic,209423,TRUE,5yG7ZAZafVaAlMTeBybKAL,2,0.740767,0.697517,-4.684,0.124188,164.029,0.197418,11,0.107144,1,4,0.554992,Black Widow,1
Hey Brother,3zKST4nk4QJE77oLjUZ0Ng,['Avicii'],TRUE,255093,FALSE,1vCWHaC5f2uS3yhpwWbIA6,1,0.539694,0.73935,-5.303,0.045112,124.968,0.025931,7,0.079027,0,4,0.409504,Hey Brother,1
Ho Hey,1jdNcAD8Ir58RlsdGjJJdx,['The Lumineers'],The Lumineers,161226,FALSE,16oZKvXb6WkQlVAjwo2Wbg,1,0.685287,0.465864,-9.074,0.030378,79.936,0.793712,0,0.091456,1,4,0.369965,Ho Hey,1
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,6D5pfooPP6hi99RaXjkDsP,"['Lana Del Rey', 'Cedric Gervais']",Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),214912,FALSE,00FQb4jTyendYWaN8pK0wa,2,0.562451,0.798351,-6.314,0.063666,125.976,0.018402,1,0.103659,0,4,0.132109,Summertime Sadness,1
0 To 100 / The Catch Up,4jtyUzZm9WLc2AdaJ1dso7,['Drake'],0 To 100 / The Catch Up,275226,TRUE,3TVXtAsR1Inumwj472S9r4,1,0.60286,0.617052,-6.981,0.440321,179.557,0.750066,11,0.207423,0,4,0.536849,0 To 100 / The Catch Up,1
Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,['Milky Chance'],Sadnecessary,313684,FALSE,1hzfo8twXdOegF3xireCYs,1,0.880538,0.526846,-10.278,0.038827,114.015,0.515437,11,0.076678,1,4,0.692015,Stolen Dance,1
Riptide,7yq4Qj7cqayVTp3FF9CWbm,['Vance Joy'],Dream Your Life Away,204280,FALSE,10exVja0key0uqUkk6LJRT,1,0.488259,0.729591,-6.676,0.034618,102.139,0.459703,1,0.144754,1,4,0.51835,Riptide,1
Magic,23khhseCLQqVMCIT1WMAns,['Coldplay'],Ghost Stories,285014,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.73755,0.482568,-8.915,0.040255,93.458,0.026219,6,0.106217,0,4,0.357667,Magic,1
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,['5 Seconds Of Summer'],5 Seconds Of Summer,202496,FALSE,5Rl15oVamLq7FbSb0NNBNy,1,0.481707,0.926851,-4.481,0.129044,160.016,0.000203,9,0.124952,1,4,0.455751,She Looks So Perfect,1
Chandelier,4VrWlk8IQxevMvERoX08iC,['Sia'],1000 Forms Of Fear,216120,FALSE,5WUlDfRSoLAfcVSX1WnrxN,1,0.407233,0.743841,-4.507,0.04996,117.309,0.017444,1,0.075519,1,5,0.588705,Chandelier,1
Rather Be (feat. Jess Glynne),0TVV2gFROJaB3kIZyCUvIY,"['Clean Bandit', 'Jess Glynne']",New Eyes,227833,FALSE,6MDME20pz9RveH9rEXvrOM,2,0.792968,0.603486,-6.789,0.04147,121.03,0.123074,11,0.193868,1,4,0.54176,Rather Be,1
Stay With Me,7IHOIqZUUInxjVkko181PB,['Sam Smith'],In The Lonely Hour (Deluxe Edition),172723,FALSE,2wY79sveU1sp5g7SokKOiI,1,0.436676,0.361183,-8.799,0.040853,84.308,0.355818,0,0.10409,1,4,0.170888,Stay With Me,1
3005,3Z2sglqDj1rDRMF5x0Sz2R,['Childish Gambino'],Because The Internet,234213,TRUE,73sIBHcqh3Z3NyqHKZ7FOL,1,0.472655,0.461154,-6.474,0.332621,165.985,0.149141,6,0.097304,0,4,0.611064,V. 3005,1
The Man,1FsH6OZCKLWbBgqj8JcCvO,['Aloe Blacc'],Lift Your Spirit,255906,FALSE,0id62QV2SZZfvBn9xpmuCl,1,0.425136,0.750888,-8.094,0.055038,85.948,0.038452,11,0.216411,0,4,0.551287,The Man,1
