Not a Bad Thing,1A2UmLDZzDmpdzUjEkCc3z,['Justin Timberlake'],Not a Bad Thing,266533,True,31TPClRtHm23RisEBtV3X7,87,1,1552712,0.386313,0.716044,-6.298,0.123555,85.148,Not a Bad Thing
The Prayer,546jptkBtmJ076SnwEg3fn,['Kid Cudi'],A Kid Named Cudi,200946,True,0fA0VVWsXO9YnASrzqfmYu,84,1,1109931,0.74943,0.673152,-7.832,0.140897,140.059,The Prayer
Man on a Wire,4b30rxe4kxjNl8YpE17Sew,['The Script'],No Sound Without Silence,245466,False,3AQRLZ9PuTAozP28Skbq8V,85,1,1350996,0.387505,0.836293,-3.548,0.035764,180.073,Man on a Wire
You're Never Fully Dressed Without a Smile (2014 Film Version),0IjQeHaDwRljTnROP955YG,['Sia'],You're Never Fully Dressed Without a Smile (2014 Film Version),190373,False,5WUlDfRSoLAfcVSX1WnrxN,94,1,1025943,0.491112,0.966683,-4.859,0.286596,100.529,You're Never Fully Dressed Without a Smile (2014 Film Version)
When A Fire Starts To Burn,47EMbBZPg4OBe6m1fijQzj,['Disclosure'],Settle (Special Edition),283705,False,6nS5roXSAGhTGr34W6n7Et,83,1,597877,0.864767,0.724117,-7.39,0.249658,124.001,When A Fire Starts To Burn
Stuck On a Feeling,467EtYDw801TKMxMtGCsFO,"['Prince Royce', 'Snoop Dogg']",Stuck On a Feeling,210343,False,3MHaV05u0io8fQbZ2XPtlC,82,2,500282,0.815517,0.415413,-6.307,0.055931,100.022,Stuck On a Feeling
A Sky Full of Stars - Hardwell Remix,0WZVGXO8FYpK8v1IDxlOyE,['Coldplay'],A Sky Full Of Stars (Hardwell Remix),313124,False,4gzpq5DPGxSnKTe4SA8HAU,92,1,4068870,0.650149,0.562264,-6.625,0.031235,128.009,A Sky Full of Stars (Hardwell Remix)
A Long Time Ago,4amU151BcUJ8ZCtogTmPb3,['First Aid Kit'],Stay Gold,241333,False,21egYD1eInY6bGFcniCRT1,77,1,394068,0.335319,0.231437,-7.517,0.030087,149.342,A Long Time Ago
Red Lights,015IsLQFXbEm0f541N2qoX,['Ti\xc3\xabsto'],A Town Called Paradise,262200,False,2o5jDhtHVPhrJdv3cEQ99Z,87,1,833179,0.655846,0.818823,-4.792,0.038575,124.999,Red Lights
Rise Like A Phoenix,0fvafkeEoF6Y9gGLK3Wnu3,['Conchita Wurst'],Rise Like A Phoenix,181989,False,1TGdxJ3UvFq055SVjwx49v,64,1,16581,0.33469,0.536513,-6.791,0.028864,81.377,Rise Like A Phoenix
Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8,['Paloma Faith'],A Perfect Contradiction Outsiders' Edition (Deluxe),232893,False,4fwuXg6XQHfdlOdmw36OHa,74,1,209489,0.567017,0.884904,-4.519,0.09535,91.017,Only Love Can Hurt Like This
More Than a Lover,6zqTVsSFsxwXlVIZDTcWUc,"['Style of Eye', 'Anna St\xc3\xa5hl']",Footprints,225120,True,5jXlKEXCqcJ7eHKJrFCFl9,65,2,9230,0.648278,0.777765,-4.137,0.029361,127.995,More Than a Lover
R E A L,2cjXVAnbyKcddqr7IgpGWH,['LE YOUTH'],R E A L,205026,False,1Zz6NBe8UIZjm88TvehFtx,69,1,19205,0.772115,0.768866,-6.387,0.137089,114.984,R E A L
Hideaway,51tUT1gHE30GQPhn1agudM,['Kiesza'],Sound Of A Woman,251986,False,4zxvC7CRGvggq9EWXOpwAo,80,1,144591,0.853152,0.612846,-6.335,0.058639,122.986,Hideaway
Start A Fire,3Lfw1wlVtPbvRFeUaiILkY,"['Lil Wayne', 'Christina Milian']",Start A Fire,233146,True,55Aa2cqylxrFIXC767Z865,95,2,2136930,0.655867,0.86172,-4.579,0.158724,95.073,Start A Fire
Hands On The Wheel (feat. A$AP Rocky),45WndcPa0crrZ98d6aPME0,"['Schoolboy Q', 'A$AP Rocky']",Schoolboy Q,201010,True,5IcR3N7QB1j6KBL8eImZ8m,86,2,430489,0.453853,0.85355,-5.359,0.182567,127.891,Hands On The Wheel
I•M•A•M,7E8INxHvLDcUsGtQ8YS36r,['Silvana Imam'],I•M•A•M,203842,True,14vNE9iqS5eGAL6OogiN8g,61,1,4861,0.541354,0.660357,-4.126,0.070638,107.763,I•M•A•M
