L-O-V-E,['Nat King Cole'],The Extraordinary,153040,40,False,"['AD', 'AR', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HN', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SI', 'SK', 'SV', 'TR', 'UY']",7v4imS0moSyGdXyLgVTIV7,68,1,166900
Walk Away,['Jasmine V'],That’s Me Right There EP,206026,37,False,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SI', 'SK', 'SV', 'TR', 'TW', 'UY']",3vskr7Z0TqgoYUi1iLnhy8,56,1,20084
That’s Me Right There,"['Jasmine V', 'Kendrick Lamar']",That’s Me Right There EP,208640,39,False,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SI', 'SK', 'SV', 'TR', 'TW', 'UY']",3vskr7Z0TqgoYUi1iLnhy8,56,2,20084
Long Time Coming,['Saints of Valory'],V,210613,47,False,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'IE', 'IS', 'IT', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SI', 'SK', 'SV', 'TR', 'TW', 'US', 'UY']",7nOZKudJkpG5kbS5Ys3w6u,45,1,3983
V,['JJ'],V,61912,18,False,"['DK', 'FI', 'IS', 'NO', 'SE']",1bAdBYcsDdsbqmWbAE7qKR,51,1,16573
Fågelsången,['JJ'],V,213323,20,False,"['DK', 'FI', 'IS', 'NO', 'SE']",1bAdBYcsDdsbqmWbAE7qKR,51,1,16573
Unkiss Me,['Maroon 5'],V (Deluxe),238200,56,False,"['DE', 'DK', 'FI', 'GB', 'NO', 'SE']",04gDigrS5kc9YWfZHwBETP,96,1,5492866
Sugar,['Maroon 5'],V (Deluxe),235493,87,True,"['CA', 'MX', 'US']",04gDigrS5kc9YWfZHwBETP,96,1,5492867
Erase You (feat. Lady V) [Nifra Remix],"['Markus Schulz', 'Lady V-', 'Nifra']",Erase You (feat. Lady V),443076,32,False,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'IE', 'IS', 'IT', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SI', 'SK', 'SV', 'TR', 'TW', 'US', 'UY']",6OO0PboZcIWUWL7j2IyeoL,61,3,63136
Maps,['Maroon 5'],V (Deluxe),189973,70,False,"['DE', 'DK', 'FI', 'GB', 'NO', 'SE']",04gDigrS5kc9YWfZHwBETP,96,1,5492866
