song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en
Dream Catcher (feat. Charlotte Haining),1b0YdMX8EUf2Zg6VA5tz8Z,"['Rameses B', 'Charlotte Haining']",Dream Catcher,217356,False,06EfEcjc0vdvI6VNL0soIO,2,0.474122,0.942369,-2.84,0.142611,174.026,Dream Catcher (feat. Charlotte Haining)
Mi Vecinita,24Ys3m6hKQJlftrhCYSwgP,['Plan B'],Mi Vecinita,183320,False,2jSGzJw0ebJLu7OLVSOcBP,1,0.756561,0.835954,-4.435,0.07488,93.969,Mi Vecinita
Visionary,5baQLiHIcy4Fsslxhvfo5V,['Rameses B'],Visionary,297639,False,06EfEcjc0vdvI6VNL0soIO,1,0.536589,0.86597,-5.743,0.054478,87.503,Visionary
Minns Vad Du Sa,6D2ip633z0Au78yglXnMo1,['B C'],Minns Vad Du Sa,196500,False,0iieHSV4JrDQ4iXLGRgoHF,1,0.666028,0.684457,-8.488,0.027619,120.021,Minns Vad Du Sa
Desnúdate,0X4WNWyHdhcTmWRCalyVaI,['J Balvin'],La Familia B Sides,223106,False,1vyhD5VmyZ7KMfW5gqLgo5,1,0.756153,0.736829,-5.889,0.092773,92.036,Desnúdate
In Your Eyes - Henrik B Deep Mix,5OrR2iT1BMIS7xHxZTBFQ9,['Henrik B'],In Your Eyes (Remixes),360961,False,1qM7ddO1J0S7eGGnuVmEXn,1,0.828914,0.786407,-9.522,0.04856,119.998,In Your Eyes (Henrik B Deep Mix)
Mi Vecinita,4Yu2UoU9qNlYL9GeIH65P5,['Plan B'],Love and Sex,182160,False,2jSGzJw0ebJLu7OLVSOcBP,1,0.754098,0.81932,-4.426,0.051284,93.986,Mi Vecinita
"Adagio in B Minor, K. 540",4Xwx60tQYJubmNNGd0UBbF,['Walter Klien'],Mozart: Complete Works for Solo Piano (The VoxBox Edition),475773,False,2OQorEVvzvGCM4J4PHa6di,1,0.476862,0.014339,-28.947,0.07608,127.246,Adagio In B Minor K. 540
Loco,6pV8HES2JMIiLr2vHtc1MC,"['Joel Fletcher', 'Seany B']",Loco,202500,False,2Z4QqhmV5Xw5vX2ZI70HOR,2,0.725949,0.956979,-2.192,0.321811,128.042,Loco
She Loves You,7kqZ1ILc7vLzggsvXs5yXO,['The Gaslight Anthem'],The B-Sides,218920,False,7If8DXZN7mlGdQkLE2FaMo,1,0.519772,0.698251,-8.762,0.033358,92.016,She Loves You
Candy,2cRtuTadVm0JzoW4NNTIqI,['Plan B'],Love and Sex,207500,False,2jSGzJw0ebJLu7OLVSOcBP,1,0.897434,0.864373,-3.735,0.147358,95.981,Candy
Call Me King Kong B!T%H!!!,6W5NXkJKtf4Phf2tRRjvBp,"['Fatman Scoop', 'Dienvy']",Call Me King Kong B!T%H!!!,219250,True,15GGbJKqC6w0VYyAJtjej6,2,0.714248,0.964883,-5.256,0.115188,130.028,Call Me King Kong B!T%H!!!
Shake It off,6wJvWLrskWayzzHcxtvksw,['DJ Talia B'],"Get Fit, Vol. 1",218102,False,6QmfaGANUyQMaLK1L6VoDL,1,0.56908,0.785766,-5.886,0.176851,159.983,Shake It off
"Nocturnes, Op. 9: No. 1 in B-Flat Minor",28pG6tPeWdii8iGCXl4szW,"['Fr\xc3\xa9d\xc3\xa9ric Chopin', 'Adam Harasiewicz']",Chopin - Classical Masterpieces,326000,False,7y97mc3bZRFXzT2szRM4L4,2,0.270275,0.042879,-22.396,0.047264,57.763,"Nocturne No.1 in B flat minor, Op.9 No.1"
"Partita in B-Flat Major, BWV 825: IV. Sarabande",7HRbgpb696qbFwNJZkNSc6,"['Johann Sebastian Bach', 'James Rhodes']",Five,381546,False,5aIqB5nVVvmFsvSdExz408,2,0.425367,0.018099,-31.487,0.055943,129.464,"Partita in B-Flat Major, BWV 825: IV. Sarabande"
Sleep on It,3jZXgXcXX4UFtOJZGDabUt,['B Robin'],Sleep on It,210240,False,1HrQTLYfhM5innP6NioTQd,1,0.700133,0.867344,-3.962,0.047661,115.115,Sleep On It
B a noBody,56x414nNMB2h5llf3aEL04,['SOAK'],B a noBody,288140,False,4PLsMEk2DCRVlVL2a9aZAv,1,0.437472,0.26714,-10.296,0.031371,124.711,B a noBody
Xanax and Patron,6nEx6Or7mScLf7BaZ5WfV9,"['Berner', 'B-Real', 'Demrick']",Prohibition,208500,True,2lrtGWxNXWjd0JzDLKXubI,3,0.532301,0.808253,-4.52,0.180197,169.203,Xanax and Patron
Me Roar - Format:B Remix,1qTdVus86G3MhMFx6IPdx0,"['Super Flu', 'Monkey Safari']",Halle Saale Remixed,418972,False,1iZiG82D4w7FLHvOUUj4zW,2,0.555012,0.625579,-8.501,0.057295,124.001,Me Roar (Format:B Remix)
Swish,56plJtXaekLOQGxSaGQxwK,"['Stor', 'Linda Pira', 'Gee Dixon', 'Bamma B']",Swish,237680,False,4XLISC9SzRTcR34fosyMtw,4,0.65097,0.748762,-7.186,0.290629,75.122,Swish
Ooh Yeah,3d0Y8xhXEfwNY7ts4DI6H4,"['Stor & Aki', 'Bamma B']",Redline Is For The Children,253040,False,7od7WvFXOcePxvE5abwHt3,2,0.767373,0.826549,-4.536,0.345555,89.92,Ooh Yeah
American Dream Plan B,5TCq5VBFgZx6Pg3qeGqUE4,['Tom Petty And The Heartbreakers'],Hypnotic Eye,179426,False,4tX2TplrkIP4v05BNC903e,1,0.676372,0.612536,-4.8,0.046012,128.508,American Dream Plan B
Lover Like You,0KZK8rrdzRza3hSvpS2jZq,"['Gorgon City', 'Katy B']",Sirens (Deluxe),216840,False,4VNQWV2y1E97Eqo2D5UTjx,2,0.742531,0.745633,-6.833,0.039736,121.009,Lover Like You
Good Weed Bad B*tch,01iIIgdoDuKn3yaNguCMmG,['K CAMP'],IDT - The Mixtape,200591,True,5bgfj5zUoWpyeVatGDjn6H,1,0.576236,0.604731,-5.493,0.055566,120.062,Good Weed Bad B*tch
Memoirs,1NQiTMDjW5nQAs0Pq8fR59,['Rameses B'],Free Download,341681,False,06EfEcjc0vdvI6VNL0soIO,1,0.69316,0.507434,-10.838,0.11748,170.016,Memoirs
The Days - Henrik B Remix,77n1OPfD0HSj8jlfM7REQS,['Avicii'],The Days / Nights,236945,False,1vCWHaC5f2uS3yhpwWbIA6,1,0.58569,0.820419,-5.212,0.044943,126.968,The Days - Henrik B Remix
What Kind of Cool - QuestLove Remix,3VtoOb3SteJnXAJWHpVlK4,['Cody Chesnutt'],Landing On a Hundred: B Sides and Remixes,331240,False,3sO8muEXafy2NGwUZByrTr,1,0.607716,0.386545,-7.954,0.055509,145.241,What Kind of Cool (QuestLove Remix)
Bad B*tch,5DEY992nQtb7yfdWmwPH0T,"['French Montana', 'Jeremih']",Bad B*tch,244386,True,6vXTefBL93Dj5IqAWq6OTv,2,0.705532,0.639184,-7.756,0.132629,99.963,Bad B*tch
Spirit Walk,48hcfbdUGYo4VcJdytz1ug,['Rameses B'],Reborn,357818,False,06EfEcjc0vdvI6VNL0soIO,1,0.383115,0.649785,-7.411,0.057143,109.995,Spirit Walk
Fired (feat. J-Son),6wsDIYDJH7SwdFkKFZQIX7,"['B Robin', 'J-Son']",Fired (feat. J-Son),189386,False,1HrQTLYfhM5innP6NioTQd,2,0.637968,0.820169,-4.3,0.035467,139.988,Fired (feat. J-Son)
Grindin’ My Whole Life,4Hy5ziwOQiFc7UuxpTOdwx,"['HS87', 'N.No', 'B. Carr', 'Hit Boy', 'Big Hit', 'Audio Push', 'Bmacthequeen', 'Kent M$ney']",We The Plug,322093,True,6NUVKfz2xAi4mJJkGm6zyz,8,0.755723,0.636432,-6.195,0.173333,115.071,Grindin’ My Whole Life
Express Yourself (feat. Nicky Da B),3XdbNOzMb0TL6pBbtEpyqT,"['Diplo', 'Nicky Da B']",Random White Dude Be Everywhere,277546,True,5fMUXHkw8R8eOP2RNVYEZX,2,0.835107,0.938782,-3.093,0.248825,107.992,Express Yourself
Earth Calls,0hpCKdN3ap2MHXO6uv3Hsz,['Rameses B'],Reborn,298000,False,06EfEcjc0vdvI6VNL0soIO,1,0.548254,0.777598,-7.045,0.036152,140.043,Earth Calls
Ruckus In B Minor,4eJ0K6wkaAaHtvvIXeLWBF,['Wu-Tang Clan'],Ruckus In B Minor,324733,True,34EP7KEpOjXcM2TCat1ISk,1,0.483918,0.91334,-4.631,0.443675,92.715,Ruckus In B Minor
Ay Vamos,3toP91RkMRQw7M0bScJ4F9,['J Balvin'],La Familia B Sides,226413,False,1vyhD5VmyZ7KMfW5gqLgo5,1,0.714194,0.779195,-3.607,0.100616,173.925,Ay Vamos
Fanatica Sensual,1DrDfpOx4P4LMxFhtOmeyD,['Plan B'],Love and Sex,240200,False,2jSGzJw0ebJLu7OLVSOcBP,1,0.790768,0.847055,-3.657,0.049203,163.974,Fanática Sensual
Find Tomorrow (Ocarina) - Radio Edit,0AQlQOvoFhRJLPC1KwbKB7,"['Dimitri Vegas', 'Like Mike', 'Wolfp.a.c.k.', 'Katy B']",Find Tomorrow (Ocarina),188466,False,3h5YdLLrzyhjtN7lRgr682,4,0.659795,0.846663,-4.908,0.033991,129.962,Find Tomorrow (Ocarina) (Radio Edit)
Blind Heart - Didrick Remix,6iOsXeWXGg9RORSMd7uLaq,"['CAZZETTE', 'Terri B!']",Blind Heart (Remixes),242812,False,1IELhvOMg5VQlU7syRm6CS,2,0.647699,0.890085,-4.338,0.203201,127.936,Blind Heart (Didrick Remix)
Blind Heart - Radio Edit,3Wb4T8OJg4obJNBMUYgfPm,"['CAZZETTE', 'Terri B!']",Blind Heart (Radio Edit),197953,False,1IELhvOMg5VQlU7syRm6CS,2,0.721777,0.827163,-6.501,0.0659,121.896,Blind Heart (feat. Terri B!) [Radio Edit]
We Love,0t6VDQI1X5KtfO0X3mcPlj,['Rameses B'],We Love,272956,False,06EfEcjc0vdvI6VNL0soIO,1,0.567072,0.736229,-6.387,0.041555,173.959,We Love
