song_id,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,outcome
6rQvEE7Jvkdwnn8RroMs15,281213,FALSE,5schNIzWdI9gJ1QRK8SBnc,1,0.296005,0.451178,-9.782,0.033402,113.321,0
7CFQrZR4WeKEg4vweqp8Gv,154435,FALSE,0X2BH1fck6amBIoJhDVmmJ,1,0.514156,0.283196,-10.317,0.033478,126.395,0
5OrR2iT1BMIS7xHxZTBFQ9,360961,FALSE,1qM7ddO1J0S7eGGnuVmEXn,1,0.828914,0.786407,-9.522,0.04856,119.998,0
5v4sZRuvWDcisoOk1PFv6T,300253,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.660407,0.315548,-11.567,0.036391,91.207,0
1ibpGwjKnWUAe2hESHW8la,126466,FALSE,7oyKEO8256ekvp3bUGUjPS,4,0.812789,0.711579,-5.23,0.075804,142.026,0
17a00RBPjDrOPUDC7URexI,224000,FALSE,3e7oahOKyWsUwRD6v4opIc,2,0.609665,0.669447,-7.256,0.040442,134.958,0
4UIRJayTEkfmBr6RT2NKlb,185080,FALSE,5PldDs8KtXMy0KZ6due44x,1,0.811068,0.711445,-4.874,0.105156,105.986,0
3xJj1mU7B83yop2dA03Smk,195056,TRUE,5LHRHt1k9lMyONurDHEdrp,2,0.926366,0.474105,-9.604,0.429366,95.962,0
1LzUePK6959M55BQiOFw9g,163861,FALSE,1Xylc3o4UrD53lo9CvFvVg,1,0.691061,0.685867,-3.279,0.078363,125.083,0
5uLb01OcHVl8ayyWotfx31,227506,TRUE,7bXgB6jMjp9ATFy66eO08Z,2,0.574418,0.469495,-5.609,0.047541,69.578,0
5g6QMEXgFeqJpVbhs4Z7Az,233232,FALSE,6TQj5BFPooTa08A7pk8AQ1,3,0.435398,0.760084,-4.912,0.038634,127.911,0
0FDzzruyVECATHXKHFs9eJ,268466,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.542656,0.565531,-9.055,0.027773,125.005,0
3g8vKDQijO4KflgGgCH2mJ,271490,TRUE,24OCZDYud2BcFNevHHSEmm,1,0.369002,0.310141,-12.023,0.072861,78.409,0
4qucbtiqPvFEr1SJpcDhlc,279692,FALSE,0hprEC0nsWuQPSHag1O2Vi,2,0.616969,0.952596,-2.848,0.042046,129.979,0
2JlmH3BzzBbMUZIGILfAyF,254893,FALSE,5kQo9vxRzDvaNrmP3z6OFj,1,0.661406,0.795102,-6.435,0.226876,99.998,0
367pc8F2uQ1c7KoORjRPMH,215880,FALSE,3AcDJEZvKgdQU4qK9JvczW,2,0.742307,0.739578,-7.152,0.36173,95.519,0
62VOo6wuhW3JQK6dhoc7Io,209533,TRUE,70gP6Ry4Uo0Yx6uzPIdaiJ,2,0.723877,0.725164,-6.277,0.108149,125.954,0
7twp7dXHCYMOmKDI7MnRRs,304974,TRUE,5IcR3N7QB1j6KBL8eImZ8m,3,0.76617,0.622862,-4.07,0.083549,86.111,0
6K8qKeWo5MsFED7wCR6Kop,235382,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.793175,0.668626,-4.456,0.046539,120.008,0
