song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists
All of Me - (Tiësto's Birthday Treatment Remix) [Radio Edit],3OgesRs9A97HaLMZEWBM9a,['John Legend'],Love In The Future (Special Edition),251613,False,5y2Xq6xcjJb2jVM54GHK3t,1
Fancy,3W3KtDwAIg3mAruSpnfG3Q,"['Iggy Azalea', 'Charli XCX']",The New Classic (Deluxe Version),199938,True,5yG7ZAZafVaAlMTeBybKAL,2
Tennis Court,74fpNVAJrKGQuqHETi4WSt,['Lorde'],Pure Heroine,198907,False,163tK9Wjr9P9DmM0AVK7lm,1
Let It Go,0qcr5FMsEO85NAQjrlDRKo,['Idina Menzel'],Frozen (Original Motion Picture Soundtrack / Deluxe Edition),223840,False,73Np75Wv2tju61Eo9Zw4IR,1
Problem,6xCNYRfzZtoQRo1xruPmNq,"['Ariana Grande', 'Iggy Azalea']",My Everything (Deluxe),193920,False,66CXWjxzNUsdJxJ2JdwvnR,2
Amnesia,1JCCdiru7fhstOIF4N7WJC,['5 Seconds Of Summer'],5 Seconds Of Summer,237247,False,5Rl15oVamLq7FbSb0NNBNy,1
Radioactive,4G8gkOterJn0Ywt6uhqbhp,['Imagine Dragons'],Night Visions,186813,False,53XhwfbYqKCa1cC15pYq2q,1
On Top Of The World,4eLSCSELtKxZwXnFbNLXT5,['Imagine Dragons'],Night Visions (Deluxe),189840,False,53XhwfbYqKCa1cC15pYq2q,1
Timber,3cHyrEgdyYRjgJKSOiOtcS,"['Pitbull', 'Ke$ha']",Global Warming: Meltdown (Deluxe Version),204160,False,0TnOYISbd1XYRBk9myaseg,2
Wake Me Up,6g1NlCpW7fgqDnWbCCDrHl,['Avicii'],True,247426,False,1vCWHaC5f2uS3yhpwWbIA6,1
All About That Bass,0ifSeVGUr7py5GggttDhXw,['Meghan Trainor'],All About That Bass,188754,False,6JL8zeS1NmiOftqZTRgdTz,1
Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,['Miley Cyrus'],Bangerz (Deluxe Version),221360,False,5YGY8feqx7naU7z4HrwZM6,1
Safe and Sound,1fzJyTCKeZuTSLByCsLRHl,['Capital Cities'],In A Tidal Wave Of Mystery,192789,False,4gwpcMTbLWtBUlOijbVpuu,1
Blame,07nH4ifBxUB4lZcsf44Brn,"['Calvin Harris', 'John Newman']",Motion,212960,False,7CajNmpbOovFoOoasH2HaY,2
Leave The Night On,3wx2kQWPn9p5UppQbNhPAk,['Sam Hunt'],Montevallo,192160,False,2kucQ9jQwuD8jWdtR9Ef38,1
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,['Coldplay'],Ghost Stories,268466,False,4gzpq5DPGxSnKTe4SA8HAU,1
Stay The Night - Featuring Hayley Williams Of Paramore,1o4XQ7tYJrDxgEpJufbOI8,"['Zedd', 'Hayley Williams']",Clarity (Deluxe),217346,False,2qxJFvFYMEDqd7ui6kSAcq,2
Wiggle (feat. Snoop Dogg),4B4zDmbHdkXZ1wUJv1yKFy,"['Jason Derulo', 'Snoop Dogg']",Tattoos [Deluxe Edition],193295,False,07YZf4WDAMNwqr4jfgOZ8y,2
