song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en,outcome
Don't,1huvTbEYtgltjQRXzrNKGi,['Ed Sheeran'],x (Deluxe Edition),219840,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.805062,0.553462,-8.498,0.061271,95.044,Don't,1
Summer,6YUTL4dYpB9xZO5qExPf05,['Calvin Harris'],Motion,222533,FALSE,7CajNmpbOovFoOoasH2HaY,1,0.597378,0.836357,-5.257,0.031503,127.963,Summer,1
Trumpets,6jizk5lOUnfpaZXYMdfeC6,['Jason Derulo'],Tattoos,217306,FALSE,07YZf4WDAMNwqr4jfgOZ8y,1,0.626847,0.66806,-5.762,0.222543,81.831,Trumpets,1
Team,3G6hD9B2ZHOsgf4WfNu7X1,['Lorde'],Pure Heroine,193058,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.688761,0.620412,-6.761,0.093719,99.984,Team,1
Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,['Milky Chance'],Sadnecessary,313684,FALSE,1hzfo8twXdOegF3xireCYs,1,0.880538,0.526846,-10.278,0.038827,114.015,Stolen Dance,1
Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,['Schoolboy Q'],Oxymoron (Deluxe),216013,TRUE,5IcR3N7QB1j6KBL8eImZ8m,1,0.60189,0.795234,-8.099,0.070131,112.001,Man Of The Year,1
Cruise,0i5el041vd6nxrGEU8QRxy,['Florida Georgia Line'],Here's To The Good Times,208960,FALSE,3b8QkneNDz4JHKKKlLgYZg,1,0.473438,0.939405,-3.381,0.03444,147.979,Cruise,1
Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,['Nico & Vinz'],Black Star Elephant,247520,FALSE,0awl5piYwO0CDTHEkCjUhn,1,0.72295,0.623482,-7.323,0.031837,119.946,Am I Wrong,1
Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,['Lana Del Rey'],Young And Beautiful,236053,FALSE,00FQb4jTyendYWaN8pK0wa,1,0.34986,0.439725,-8.56,0.033566,115.514,Young And Beautiful,1
Blurred Lines,0Rz1KXsP4bhGxs0ffySSSn,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",Blurred Lines (Deluxe),263826,FALSE,0ZrpamOxcZybMHGg1AYtHP,3,0.864211,0.609989,-4.775,0.040292,119.99,Blurred Lines,1
The Man,1FsH6OZCKLWbBgqj8JcCvO,['Aloe Blacc'],Lift Your Spirit,255906,FALSE,0id62QV2SZZfvBn9xpmuCl,1,0.425136,0.750888,-8.094,0.055038,85.948,The Man,1
Blame,07nH4ifBxUB4lZcsf44Brn,"['Calvin Harris', 'John Newman']",Motion,212960,FALSE,7CajNmpbOovFoOoasH2HaY,2,0.636889,0.823335,-5.43,0.057841,127.995,Blame,1
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,['Coldplay'],Ghost Stories,268466,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.542656,0.565531,-9.055,0.027773,125.005,A Sky Full of Stars,1
Not a Bad Thing,1A2UmLDZzDmpdzUjEkCc3z,['Justin Timberlake'],Not a Bad Thing,266533,TRUE,31TPClRtHm23RisEBtV3X7,1,0.386313,0.716044,-6.298,0.123555,85.148,Not a Bad Thing,1
Rude,6RtPijgfPKROxEzTHNRiDp,['Magic!'],Don't Kill the Magic,224840,FALSE,0DxeaLnv6SyYk2DOqkLO8c,1,0.730976,0.71973,-7.127,0.035138,144.029,Rude,1
Waves - Robin Schulz Radio Edit,5Sf3GyLEAzJXxZ5mbCPXTu,['Mr. Probz'],Waves,208133,FALSE,33W1pnW9zScZtYTnAoWnOT,1,0.825738,0.517724,-9.305,0.038791,119.968,Waves - Robin Schulz Radio Edit,1
Pompeii,3gbBpTdY8lnQwqxNCcf795,['Bastille'],Bad Blood,214147,FALSE,7EQ0qTo7fWT7DPxmxtSYEc,1,0.67287,0.728073,-5.995,0.041083,127.439,Pompeii,1
Royals,2dLLR6qlu5UJ5gk0dKz0h3,['Lorde'],Pure Heroine,190185,FALSE,163tK9Wjr9P9DmM0AVK7lm,1,0.698641,0.425539,-9.209,0.102812,84.941,Royals,1
3005,3Z2sglqDj1rDRMF5x0Sz2R,['Childish Gambino'],Because The Internet,234213,TRUE,73sIBHcqh3Z3NyqHKZ7FOL,1,0.472655,0.461154,-6.474,0.332621,165.985,V. 3005,1
